SMILES,S0 (mg/mL)
CC(C)NCC(O)COC1=C(C(C)=O)C=C(NC(CCC)=O)C=C1,711
O=C(O)[C@H]1C(C)(C)S[C@@H](N21)[C@H](NC([C@@H](C3=CC=C(O)C=C3)N)=O)C2=O,3900
O=S1(C2=CC(S(N)(=O)=O)=C(C(F)(F)F)C=C2NC(CC3=CC=CC=C3)N1)=O,21.2
NC1=CC=C(C(OCC)=O)C=C1,780
O=S1(C2=CC(S(N)(=O)=O)=C(Cl)C=C2N=C(CSCC3=CC=CC=C3)N1)=O,6.4
ClC(C=C1)=CC2=C1NC(C=CC=C3)=C3C(N4CCN(C)CC4)=N2,188.9
CCN(CC)CCNC(C1=C(C=CC=C2)C2=NC(OCCCC)=C1)=O,14
CC/C(C1=CC=C(O)C=C1)=C(C2=CC=C(O)C=C2)/CC,10
FC(C=C1F)=CC=C1C2=CC=C(O)C(C(O)=O)=C2,0.29
OCCN(CCO)C1=NC2=C(N3CCCCC3)N=C(N(CCO)CCO)N=C2C(N4CCCCC4)=N1,3.46
OC([C@H](CCC(O)=O)NC(C(C=C1)=CC=C1NCC2=NC3=C(O)N=C(N)N=C3N=C2)=O)=O,2.5
OC(C1=CC(S(N)(=O)=O)=C(Cl)C=C1NCC2=CC=CO2)=O,19.6
O=S1(C2=CC(S(N)(=O)=O)=C(Cl)C=C2NCN1)=O,625
CN(C)CCCN1C2=C(C=CC=C2)CCC3=C1C=CC=C3,22
COC1=CC=C2C(C(CC(O)=O)=C(C)N2C(C3=CC=C(Cl)C=C3)=O)=C1,410
O=C(C1=CC=CC=C1)C2=CC=CC(C(C(O)=O)C)=C2,157
CCN(CC)CC(NC1=C(C)C=CC=C1C)=O,3130
ClC(C=CC(C)=C1Cl)=C1NC2=CC=CC=C2C(O)=O,0.16
OC(C1=CC2=CC=CC=C2C=C1)=O,28.96
CN[C@@H](C)[C@H](O)C1=CC=CC=C1,3.9
ClC(C=C1)=CC=C1C2=C(CC)N=C(N)N=C2N,19.4
OC(C1=CC=CC=C1O)=O,1620
NC1=CC=C(S(NC2=NC(C)=CC=N2)(=O)=O)C=C1,200
NC1=CC=C(S(NC2=NN=C(C)S2)(=O)=O)C=C1,450
OC(C1=CC=CC=C1)(C2=CC=CC=C2)C3CCN(CCCC(O)C4=CC=C(C(C)(C)C)C=C4)CC3,0.00856
C12=CC=CC=C1NC(C3=CSC=N3)=N2,66
CC1=CC=C(S(NC(NCCCC)=O)(=O)=O)C=C1,93
ClC1=CC=CC(N2CCN(CCCN3C(N(C=CC=C4)C4=N3)=O)CC2)=C1,127
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
